Line Number,msgid,msgstr,Status
1973,"Bonus Payment Date","",Untranslated
2003,"Bonus Payment Date cannot be a past date","",Untranslated
2007,"Branch","",Untranslated
2011,"Branch: {0}","",Untranslated
2015,"Bulk Assignments","",Untranslated
2023,"Bulk Leave Policy Assignment","",Untranslated
2029,"Bulk Salary Structure Assignment","",Untranslated
2034,""By default, the Final Score is calculated as the average of Goal Score, Feedback Score, and Self Appraisal Score. Enable this to set a different formula"","",Untranslated
2040,"CTC","",Untranslated
2046,"Calculate Final Score based on Formula","",Untranslated
2051,"Calculate Gratuity Amount Based On","",Untranslated
2057,"Calculate Payroll Working Days Based On","",Untranslated
2061,"Calculated in days","",Untranslated
2065,"Calls","",Untranslated
2071,"Campaign","แคมเปญ",Translated
2075,"Cancel","",Untranslated
2103,"Cancellation Queued","",Untranslated
2107,"Cancelled","",Untranslated
2111,"Cannot Modify Time","",Untranslated
2115,"Cannot allocate leaves outside the allocation period {0} - {1}","",Untranslated
2119,"Cannot break shift after end date","",Untranslated
2123,"Cannot break shift before start date","",Untranslated
2127,"Cannot cancel Shift Assignment: {0} as it is linked to Attendance: {1}","",Untranslated
2131,"Cannot cancel Shift Assignment: {0} as it is linked to Employee Checkin: {1}","",Untranslated
2135,"Cannot create Salary Slip for Employee joining after Payroll Period","",Untranslated
2139,"Cannot create Salary Slip for Employee who has left before Payroll Period","",Untranslated
2143,"Cannot create a Job Applicant against a closed Job Opening","",Untranslated
2147,"Cannot create or change transactions against an Appraisal Cycle with status {0}.","",Untranslated
2151,"Cannot find active Leave Period","",Untranslated
2155,"Cannot mark attendance for an Inactive employee {0}","",Untranslated
2159,"Cannot submit. Attendance is not marked for some employees.","",Untranslated
2163,"Cannot update allocation for {0} after submission","",Untranslated
2171,"Cannot update status of Goal groups","",Untranslated
2177,"Carry Forward","",Untranslated
2181,"Carry Forwarded Leaves","",Untranslated
2186,"Casual Leave","",Untranslated
2191,"Cause of Grievance","",Untranslated
2195,"Change","",Untranslated
2199,"Changing '{0}' to {1}.","",Untranslated
2204,""Changing KRA in this parent goal will align all the child goals to the same KRA, if any."","",Untranslated
2209,"Chart of Accounts","ผังบัญชี",Translated
2213,"Chart of Cost Centers","ผังศูยน์ต้นทุน",Translated
2217,"Check <a href='/app/List/Error Log?reference_doctype={0}'>{1}</a> for more details","",Untranslated
2221,"Check Error Log {0} for more details.","",Untranslated
2225,"Check In","",Untranslated
2230,"Check Out","",Untranslated
2235,"Check Vacancies On Job Offer Creation","",Untranslated
2239,"Check {0} for more details","",Untranslated
2244,"Check-in","",Untranslated
2248,"Check-in Date","",Untranslated
2253,"Check-out","",Untranslated
2258,"Check-out Date","",Untranslated
2262,"Checkin Radius","",Untranslated
2268,"Child nodes can only be created under 'Group' type nodes","",Untranslated
2273,"Claim Benefit For","",Untranslated
2278,"Claim Date","",Untranslated
2284,"Claim an Expense","",Untranslated
2293,"Claimed","",Untranslated
2299,"Claimed Amount","",Untranslated
2304,"Claims","",Untranslated
2309,"Clear All","",Untranslated
2316,"Clearance Date","",Untranslated
2320,"Cleared","",Untranslated
2325,"Click {0} to change the configuration and then resave salary slip","",Untranslated
2331,"Close","",Untranslated
2337,"Closed","",Untranslated
2343,"Closed On","",Untranslated
2347,"Closes On","",Untranslated
2351,"Closes on:","",Untranslated
2359,"Closing Balance","",Untranslated
2364,"Closing Notes","",Untranslated
2369,"Collapse All","",Untranslated
2376,"Color","",Untranslated
2380,"Comments","",Untranslated
2528,"Commission","",Untranslated
2534,"Company","บริษัท",Translated
2538,"Company Details","",Untranslated
2549,"Company Information","",Untranslated
2553,"Compensatory Leave Request","",Untranslated
2573,"Compensatory Off","",Untranslated
2578,"Completed","",Untranslated
2582,"Completed On","",Untranslated
2590,"Completing onboarding","",Untranslated
2596,"Component","",Untranslated
2605,"Component properties and references ","",Untranslated
2611,"Condition","",Untranslated
2616,"Condition & Formula","",Untranslated
2622,"Condition and Formula Help","",Untranslated
2628,"Condition and formula","",Untranslated
2634,"Conditions","",Untranslated
2639,"Conditions and Formula variable and example","",Untranslated
2644,"Conference","",Untranslated
2648,"Confirm","",Untranslated
2655,"Confirm {0}","",Untranslated
2659,"Connections","",Untranslated
2666,"Consider Grace Period","",Untranslated
2670,"Consider Marked Attendance on Holidays","",Untranslated
2677,"Consider Tax Exemption Declaration","",Untranslated
2681,"Consider Unmarked Attendance As","",Untranslated
2686,"Consolidate Leave Types","",Untranslated
2690,"Contact Email","",Untranslated
2695,"Contact Information","",Untranslated
2704,"Contact No.","",Untranslated
2708,"Contact Number","",Untranslated
2712,"Continue","",Untranslated
2717,"Contract","",Untranslated
2723,"Copy of Invitation/Announcement","",Untranslated
2743,"Cost","ต้นทุน",Translated
2749,"Cost Center","ศูนย์ต้นทุน",Translated
2754,"Cost Centers","ศูนย์ต้นทุน",Translated
2760,"Costing","การคำนวณต้นทุน",Translated
2764,"Costing Details","รายละเอียดการคำนวณต้นทุน",Translated
2768,"Could not submit some Salary Slips: {}","",Untranslated
2772,"Could not update Goal","",Untranslated
2777,"Could not update goals","",Untranslated
2781,"Country","",Untranslated
2785,"Country Fixture Deletion Failed","",Untranslated
2792,"Country Setup failed","",Untranslated
2797,"Course","",Untranslated
2822,"Cover Letter","",Untranslated
2826,"Create","",Untranslated
2831,"Create Additional Salary","",Untranslated
2835,"Create Appraisals","",Untranslated
2840,"Create Employee","",Untranslated
2844,"Create Interview","",Untranslated
2848,"Create Job Applicant","",Untranslated
2852,"Create Job Opening","",Untranslated
2858,"Create Journal Entry","",Untranslated
2862,"Create New Employee Id","",Untranslated
2866,"Create Payment Entry","",Untranslated
2872,"Create Salary Slip","",Untranslated
2878,"Create Salary Slips","",Untranslated
2884,"Create Separate Payment Entry Against Benefit Claim","",Untranslated
2888,"Create Shifts After","",Untranslated
2892,"Creating Appraisals","",Untranslated
2896,"Creating Payment Entries......","",Untranslated
2900,"Creating Salary Slips...","",Untranslated
2904,"Creating {0}...","",Untranslated
2908,"Creation Date","",Untranslated
2912,"Creation Failed","",Untranslated
2916,"Creation of Salary Structure Assignments has been queued. It may take a few minutes.","",Untranslated
2923,"Creation of {0} has been queued. It may take a few minutes.","",Untranslated
2929,"Criteria","",Untranslated
2977,"Criteria based on which employee should be rated in Performance Feedback and Self Appraisal","",Untranslated
2983,"Currency","",Untranslated
2987,"Currency ","",Untranslated
2993,"Currency of selected Income Tax Slab should be {0} instead of {1}","",Untranslated
2998,"Current","",Untranslated
3003,"Current CTC","",Untranslated
3008,"Current Count","",Untranslated
3013,"Current Employer ","",Untranslated
3019,"Current Job Title","",Untranslated
3023,"Current Month Income Tax","",Untranslated
3028,"Current Odometer Value should be greater than Last Odometer Value {0}","",Untranslated
3033,"Current Odometer value ","",Untranslated
3039,"Current Openings","",Untranslated
3046,"Current Slab","",Untranslated
3050,"Current Work Experience","",Untranslated
3056,""Currently, there is no {0} leave period for this date to create/update leave allocation."","",Untranslated
3061,"Custom Range","",Untranslated
3066,"Customer","",Untranslated
3071,"Cyan","",Untranslated
3076,"Cycle Name","",Untranslated
3089,"Cycles","",Untranslated
3098,"Daily","รายวัน",Translated
3111,"Daily Work Summary","",Untranslated
3116,"Daily Work Summary Group","",Untranslated
3125,"Daily Work Summary Group User","",Untranslated
3138,"Daily Work Summary Replies","",Untranslated
3159,"Dashboard","แดชบอร์ด",Translated
3164,"Date","วันที่",Translated
3169,"Date ","",Untranslated
3173,"Date Range","ช่วงวันที่",Translated
3180,"Date is repeated","",Untranslated
3199,"Date of Birth","วันเกิด",Translated
3205,"Date of Joining","วันที่เข้าร่วม",Translated
3210,"Dates & Reason","",Untranslated
3214,"Dates Based On","",Untranslated
3218,"Days for which Holidays are blocked for this department.","",Untranslated
3223,"Debit A/C Number","",Untranslated
3227,"Dec","",Untranslated
3233,"Decision Pending","",Untranslated
3239,"Declarations","",Untranslated
3251,"Declared Amount","",Untranslated
3260,"Deduct Full Tax on Selected Payroll Date","",Untranslated
3269,"Deduct Tax For Unclaimed Employee Benefits","",Untranslated
3276,"Deduct Tax For Unsubmitted Tax Exemption Proof","",Untranslated
3281,"Deduction","",Untranslated
3285,"Deduction Reports","",Untranslated
3292,"Deduction from Salary","",Untranslated
3298,"Deductions","",Untranslated
3305,"Deductions before tax calculation","",Untranslated
3310,"Default Account","",Untranslated
3316,"Default Amount","",Untranslated
3321,"Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.","",Untranslated
3325,"Default Base Pay","",Untranslated
3329,"Default Employee Advance Account","",Untranslated
3333,"Default Expense Claim Payable Account","",Untranslated
3339,"Default Payroll Payable Account","",Untranslated
3344,"Default Salary Structure","",Untranslated
3350,"Default Shift","",Untranslated
3358,"Deferred Expense Account","บัญชีค่าใช้จ่ายรอตัดบัญชี",Translated
3362,"Delete","ลบ",Translated
3366,"Delete Attachment","",Untranslated
3371,"Delete {0}","",Untranslated
3501,"Delivery Trip","การเดินทางจัดส่ง",Translated
3506,"Department","",Untranslated
3511,"Department Approver","",Untranslated
3515,"Department Wise Openings","",Untranslated
3519,"Department {0} does not belong to company: {1}","",Untranslated
3524,"Department: {0}","",Untranslated
3529,"Departure Datetime","",Untranslated
3538,"Depends On Payment Days","",Untranslated
3592,"Depends on Payment Days","",Untranslated
3597,"Description","",Untranslated
3677,"Description of a Job Opening","",Untranslated
3682,"Designation","",Untranslated
3686,"Designation Skill","",Untranslated
3709,"Designation: {0}","",Untranslated
3714,"Details","",Untranslated
3720,""Details of Sponsor (Name, Location)"","",Untranslated
3725,"Determine Check-in and Check-out","",Untranslated
3731,"Disable","",Untranslated
3735,"Disable Rounded Total","",Untranslated
3739,""Disable {0} for the {1} component, to prevent the amount from being deducted twice, as its formula already uses a payment-days-based component."","",Untranslated
3749,"Disable {0} or {1} to proceed.","",Untranslated
3753,"Disabled","",Untranslated
3757,"Disabling Push Notifications...","",Untranslated
3763,"Dismiss","",Untranslated
3769,"Dispensed Amount (Pro-rated)","",Untranslated
3775,"Do Not Include in Total","",Untranslated
3779,"Do not include in total","",Untranslated
3783,"Do you still want to proceed?","",Untranslated
3787,"Do you want to update the Job Applicant {0} as {1} based on this interview result?","",Untranslated
3791,"Document Status","",Untranslated
3796,"Document {0} failed!","",Untranslated
3800,"Domestic","",Untranslated
3806,"Download PDF","ดาวน์โหลด PDF",Translated
3827,"Download Template","ดาวน์โหลดเทมเพลต",Translated
3832,"Draft","ร่าง",Translated
3836,"Driver","คนขับ",Translated
3841,"Duplicate Attendance","",Untranslated
3845,"Duplicate Entry","รายการซ้ำ",Translated
3849,"Duplicate Job Requisition","",Untranslated
3853,"Duplicate Overwritten Salary","",Untranslated
3858,"Duplicate Salary Withholding","",Untranslated
3862,"Duration (Days)","ระยะเวลา (วัน)",Translated
3870,"ERROR({0}): {1}","",Untranslated
3874,"Early Exit","",Untranslated
3879,"Early Exit By","",Untranslated
3883,"Early Exit Grace Period","",Untranslated
3888,"Early Exits","",Untranslated
3893,"Earned Leave","",Untranslated
3897,"Earned Leave Frequency","",Untranslated
3901,"Earned Leaves","",Untranslated
3905,"Earned Leaves are allocated as per the configured frequency via scheduler.","",Untranslated
3909,"Earned Leaves are auto-allocated via scheduler based on the annual allocation set in the Leave Policy: {0}","",Untranslated
3916,"Earned Leaves are leaves earned by an Employee after working with the company for a certain amount of time. Enabling this will allocate leaves on pro-rata basis by automatically updating Leave Allocation for leaves of this type at intervals set by 'Earned Leave Frequency.","",Untranslated
3924,"Earning","",Untranslated
3928,"Earning Component","",Untranslated
3935,"Earning Salary Component is required for Employee Referral Bonus.","",Untranslated
3944,"Earnings","",Untranslated
3948,"Earnings & Deductions","",Untranslated
3952,"Edit","แก้ไข",Translated
3956,"Edit Expense Item","",Untranslated
3962,"Edit Expense Tax","",Untranslated
3967,"Effective From","",Untranslated
3972,"Effective To","",Untranslated
3981,"Effective from","",Untranslated
3986,"Email","อีเมล",Translated
3991,"Email Address","ที่อยู่อีเมล",Translated
3997,"Email ID","รหัสอีเมล",Translated
4001,"Email Salary Slip to Employee","",Untranslated
4006,"Email Salary Slips","",Untranslated
4011,"Email Sent To","",Untranslated
