นี่คือไฟล์ `th_translations_part1.csv` ที่ได้รับการแปลตามคำขอ โดยใช้คำศัพท์จาก `dictionary.md` เพื่อความสอดคล้องในระบบ HRM

```csv
Line Number,msgid,msgstr,Status
1085,"Amount claimed via Expense Claim","จำนวนเงินที่เบิกผ่านการเบิกค่าใช้จ่าย",Translated
1091,"Amount of expense","จำนวนค่าใช้จ่าย",Translated
1097,"Amount paid against this encashment","จำนวนเงินที่จ่ายสำหรับการแลกเป็นเงินสดนี้",Translated
1101,"Amount scheduled for deduction via salary","จำนวนเงินที่กำหนดไว้สำหรับหักผ่านเงินเดือน",Translated
1107,"Amount should not be less than zero","จำนวนเงินต้องไม่น้อยกว่าศูนย์",Translated
1111,"Amount that has been paid against this advance","จำนวนเงินที่ได้ชำระสำหรับเงินทดรองนี้",Translated
1115,""An amount of {0} already claimed for the component {1}, set the amount equal or greater than {2}"",""มีการเบิกจำนวนเงิน {0} ไปแล้วสำหรับองค์ประกอบ {1}, ตั้งค่าจำนวนเงินให้เท่ากับหรือมากกว่า {2}"",Translated
1121,"An attendance record is linked to this checkin. Please cancel the attendance before modifying time.","มีบันทึกการเข้างานเชื่อมโยงกับการบันทึกเวลานี้ โปรดยกเลิกการเข้างานก่อนแก้ไขเวลา",Translated
1125,"Annual Allocation","การจัดสรรประจำปี",Translated
1129,"Annual Allocation Exceeded","เกินการจัดสรรประจำปี",Translated
1134,"Annual Salary","เงินเดือนประจำปี",Translated
1139,"Annual Taxable Amount","จำนวนเงินที่ต้องเสียภาษีประจำปี",Translated
1144,"Any other details","รายละเอียดอื่นๆ",Translated
1150,""Any other remarks, noteworthy effort that should go in the records"",""ข้อสังเกตอื่นๆ, ความพยายามที่น่าจดจำที่ควรบันทึกไว้"",Translated
1156,"Applicable Earnings Component","องค์ประกอบรายรับที่เกี่ยวข้อง",Translated
1162,"Applicable For","ใช้สำหรับ",Translated
1167,"Applicable in the case of Employee Onboarding","ใช้ในกรณีการเริ่มงานของพนักงานใหม่",Translated
1176,"Applicant Email Address","ที่อยู่อีเมลของผู้สมัคร",Translated
1181,"Applicant Name","ชื่อผู้สมัคร",Translated
1186,"Applicant Rating","คะแนนผู้สมัคร",Translated
1190,"Applicant for a Job","ผู้สมัครงาน",Translated
1195,"Applicant name","ชื่อผู้สมัคร",Translated
1199,"Application","ใบสมัคร",Translated
1203,"Application Status","สถานะใบสมัคร",Translated
1207,"Application period cannot be across two allocation records","ช่วงเวลาการสมัครไม่สามารถคร่อมสองบันทึกการจัดสรรได้",Translated
1211,"Application period cannot be outside leave allocation period","ช่วงเวลาการสมัครต้องไม่อยู่นอกช่วงเวลาการจัดสรรวันลา",Translated
1215,"Applications Received","ใบสมัครที่ได้รับ",Translated
1221,"Applications received:","ใบสมัครที่ได้รับ:",Translated
1225,"Applies to Company","ใช้กับบริษัท",Translated
1230,"Apply","สมัคร",Translated
1234,"Apply / Approve Leaves","ยื่น/อนุมัติการลา",Translated
1239,"Apply Filters","ใช้ตัวกรอง",Translated
1244,"Apply Now","สมัครเลย",Translated
1249,"Appointment","การนัดหมาย",Translated
1256,"Appointment Date","วันที่นัดหมาย",Translated
1266,"Appointment Letter","จดหมายแต่งตั้ง",Translated
1271,"Appointment Letter Template","แม่แบบจดหมายแต่งตั้ง",Translated
1284,"Appointment Letter content","เนื้อหาจดหมายแต่งตั้ง",Translated
1301,"Appraisal","การประเมินผล",Translated
1306,"Appraisal Cycle","รอบการประเมินผล",Translated
1311,"Appraisal Goal","เป้าหมายการประเมินผล",Translated
1316,"Appraisal KRA","KRA การประเมินผล",Translated
1323,"Appraisal Linking","การเชื่อมโยงการประเมินผล",Translated
1334,"Appraisal Overview","ภาพรวมการประเมินผล",Translated
1339,"Appraisal Template","แม่แบบการประเมินผล",Translated
1343,"Appraisal Template Goal","เป้าหมายแม่แบบการประเมินผล",Translated
1348,"Appraisal Template Missing","ไม่พบแม่แบบการประเมินผล",Translated
1352,"Appraisal Template Title","ชื่อแม่แบบการประเมินผล",Translated
1356,"Appraisal Template not found for some designations.","ไม่พบแม่แบบการประเมินผลสำหรับบางตำแหน่ง",Translated
1360,"Appraisal creation is queued. It may take a few minutes.","การสร้างการประเมินผลอยู่ในคิว อาจใช้เวลาสักครู่",Translated
1364,"Appraisal {0} already exists for Employee {1} for this Appraisal Cycle or overlapping period","การประเมินผล {0} มีอยู่แล้วสำหรับพนักงาน {1} ในรอบการประเมินผลนี้หรือช่วงเวลาที่ทับซ้อนกัน",Translated
1369,"Appraisal {0} does not belong to Employee {1}","การประเมินผล {0} ไม่ใช่ของพนักงาน {1}",Translated
1373,"Appraisee","ผู้ถูกประเมิน",Translated
1377,"Appraisees: {0}","ผู้ถูกประเมิน: {0}",Translated
1384,"Apprentice","ผู้ฝึกงาน",Translated
1389,"Approval","การอนุมัติ",Translated
1393,"Approval Status","สถานะการอนุมัติ",Translated
1398,"Approval Status must be 'Approved' or 'Rejected'","สถานะการอนุมัติต้องเป็น 'อนุมัติ' หรือ 'ปฏิเสธ'",Translated
1409,"Approve","อนุมัติ",Translated
1418,"Approved","อนุมัติแล้ว",Translated
1422,"Approver","ผู้อนุมัติ",Translated
1427,"Approvers","ผู้อนุมัติ",Translated
1431,"Apr","เม.ย.",Translated
1436,"Archive","จัดเก็บ",Translated
1440,"Archived","จัดเก็บแล้ว",Translated
1444,"Are you sure you want to delete the attachment","คุณแน่ใจหรือไม่ว่าต้องการลบไฟล์แนบ",Translated
1448,"Are you sure you want to delete the {0}","คุณแน่ใจหรือไม่ว่าต้องการลบ {0}",Translated
1454,"Are you sure you want to email the selected salary slips?","คุณแน่ใจหรือไม่ว่าต้องการส่งอีเมลสลิปเงินเดือนที่เลือก",Translated
1458,"Are you sure you want to proceed?","คุณแน่ใจหรือไม่ว่าต้องการดำเนินการต่อ?",Translated
1463,"Are you sure you want to reject the Employee Referral?","คุณแน่ใจหรือไม่ว่าต้องการปฏิเสธการแนะนำพนักงาน",Translated
1467,"Arrival Datetime","วันและเวลาที่มาถึง",Translated
1472,"As per your assigned Salary Structure you cannot apply for benefits","ตามโครงสร้างเงินเดือนที่คุณได้รับมอบหมาย คุณไม่สามารถสมัครรับสวัสดิการได้",Translated
1476,"Asset Name","ชื่อสินทรัพย์",Translated
1482,"Asset Recovery Cost for {0}: {1}","ต้นทุนการกู้คืนสินทรัพย์สำหรับ {0}: {1}",Translated
1486,"Assets Allocated","สินทรัพย์ที่จัดสรร",Translated
1492,"Assign Salary Structure to {0} employee(s)?","มอบหมายโครงสร้างเงินเดือนให้กับพนักงาน {0} คน?",Translated
1498,"Assign Shift","มอบหมายกะ",Translated
1502,"Assign Shift Schedule","มอบหมายตารางกะ",Translated
1506,"Assign Structure","มอบหมายโครงสร้าง",Translated
1510,"Assigning Salary Structure","กำลังมอบหมายโครงสร้างเงินเดือน",Translated
1514,"Assigning Structure...","กำลังมอบหมายโครงสร้าง...",Translated
1518,"Assigning Structures...","กำลังมอบหมายโครงสร้าง...",Translated
1524,"Assigning...","กำลังมอบหมาย...",Translated
1529,"Assignment based on","มอบหมายตาม",Translated
1535,"Associate Job Opening","เชื่อมโยงตำแหน่งงานว่าง",Translated
1541,"Associated Document","เอกสารที่เกี่ยวข้อง",Translated
1545,"Associated Document Type","ประเภทเอกสารที่เกี่ยวข้อง",Translated
1551,"At least one interview has to be selected.","ต้องเลือกการสัมภาษณ์อย่างน้อยหนึ่งรายการ",Translated
1561,"Attach Proof","แนบหลักฐาน",Translated
1581,"Attachments","ไฟล์แนบ",Translated
1585,"Attendance","การเข้างาน",Translated
1590,"Attendance Calendar","ปฏิทินการเข้างาน",Translated
1596,"Attendance Count","จำนวนการเข้างาน",Translated
1601,"Attendance Date","วันที่เข้างาน",Translated
1605,"Attendance From Date","วันที่เข้างานเริ่มต้น",Translated
1609,"Attendance From Date and Attendance To Date is mandatory","ต้องระบุวันที่เข้างานเริ่มต้นและวันที่เข้างานสิ้นสุด",Translated
1616,"Attendance ID","รหัสการเข้างาน",Translated
1627,"Attendance Marked","บันทึกการเข้างานแล้ว",Translated
1631,"Attendance Request","คำขอการเข้างาน",Translated
1637,"Attendance Request History","ประวัติคำขอการเข้างาน",Translated
1642,"Attendance Settings","การตั้งค่าการเข้างาน",Translated
1646,"Attendance To Date","วันที่เข้างานสิ้นสุด",Translated
1650,"Attendance Updated","อัปเดตการเข้างานแล้ว",Translated
1654,"Attendance Warnings","คำเตือนการเข้างาน",Translated
1658,"Attendance date {0} can not be less than employee {1}'s joining date: {2}","วันที่เข้างาน {0} ไม่สามารถน้อยกว่าวันที่เริ่มงานของพนักงาน {1}: {2}",Translated
1662,"Attendance for all the employees under this criteria has been marked already.","การเข้างานของพนักงานทั้งหมดภายใต้เกณฑ์นี้ได้รับการบันทึกแล้ว",Translated
1666,"Attendance for employee {0} is already marked for an overlapping shift {1}: {2}","การเข้างานของพนักงาน {0} ถูกบันทึกไว้แล้วสำหรับกะที่ทับซ้อนกัน {1}: {2}",Translated
1670,"Attendance for employee {0} is already marked for the date {1}: {2}","การเข้างานของพนักงาน {0} ถูกบันทึกไว้แล้วสำหรับวันที่ {1}: {2}",Translated
1674,"Attendance for employee {0} is already marked for the following dates: {1}","การเข้างานของพนักงาน {0} ถูกบันทึกไว้แล้วสำหรับวันที่ต่อไปนี้: {1}",Translated
1678,"Attendance for the following dates will be skipped/overwritten on submission","การเข้างานสำหรับวันที่ต่อไปนี้จะถูกข้าม/เขียนทับเมื่อส่ง",Translated
1682,"Attendance from {0} to {1} has already been marked for the Employee {2}","การเข้างานตั้งแต่ {0} ถึง {1} ได้รับการบันทึกสำหรับพนักงาน {2} แล้ว",Translated
1686,"Attendance has been marked as per employee check-ins","การเข้างานได้รับการบันทึกตามการบันทึกเวลาของพนักงาน",Translated
1690,"Attendance has been marked for all the employees between the selected payroll dates.","การเข้างานของพนักงานทุกคนระหว่างวันที่จ่ายเงินเดือนที่เลือกได้รับการบันทึกแล้ว",Translated
1694,"Attendance is pending for these employees between the selected payroll dates. Mark attendance to proceed. Refer {0} for details.","การเข้างานของพนักงานเหล่านี้ยังรอดำเนินการระหว่างวันที่จ่ายเงินเดือนที่เลือก บันทึกการเข้างานเพื่อดำเนินการต่อ อ้างอิง {0} สำหรับรายละเอียด",Translated
1698,"Attendance marked successfully","บันทึกการเข้างานสำเร็จ",Translated
1702,"Attendance not submitted for {0} as it is a Holiday.","ไม่สามารถส่งการเข้างานสำหรับ {0} เนื่องจากเป็นวันหยุด",Translated
1708,"Attendance not submitted for {0} as {1} is on leave.","ไม่สามารถส่งการเข้างานสำหรับ {0} เนื่องจาก {1} ลา",Translated
1712,"Attendance will be marked automatically only after this date.","การเข้างานจะถูกบันทึกโดยอัตโนมัติหลังจากวันที่นี้เท่านั้น",Translated
1718,"AttendanceRequestListView","มุมมองรายการคำขอการเข้างาน",Translated
1722,"Attendees","ผู้เข้าร่วม",Translated
1727,"Attrition Count","จำนวนการลาออก",Translated
1733,"Aug","ส.ค.",Translated
1738,"Auto Attendance Settings","การตั้งค่าการเข้างานอัตโนมัติ",Translated
1744,"Auto Leave Encashment","การแลกวันลาเป็นเงินสดอัตโนมัติ",Translated
1750,"Automated Based on Goal Progress","อัตโนมัติตามความคืบหน้าของเป้าหมาย",Translated
1755,""Automatically fetches all assets allocated to the employee, if any"",""ดึงข้อมูลสินทรัพย์ทั้งหมดที่จัดสรรให้กับพนักงานโดยอัตโนมัติ (ถ้ามี)"",Translated
1760,"Automatically update Last Sync of Checkin","อัปเดตการซิงค์ล่าสุดของการบันทึกเวลาโดยอัตโนมัติ",Translated
1764,"Available Leave(s)","วันลาที่ใช้ได้",Translated
1770,"Available Leaves","วันลาที่ใช้ได้",Translated
1776,"Average Feedback Score","คะแนนข้อเสนอแนะเฉลี่ย",Translated
1781,"Average Rating","คะแนนเฉลี่ย",Translated
1785,""Average of Goal Score, Feedback Score, and Self Appraisal Score (out of 5)"",""ค่าเฉลี่ยของคะแนนเป้าหมาย, คะแนนข้อเสนอแนะ และคะแนนการประเมินตนเอง (จาก 5)"",Translated
1789,"Average rating of demonstrated skills","คะแนนเฉลี่ยของทักษะที่แสดงให้เห็น",Translated
